,question,response1,response2,r1_score1,r1_s2,r2_s1,r2_s2
0,"If multi thread concurrently query the following SQL to a database(postgresql):

```
UPDATE mytable SET n=n+1 WHERE n=0;

```

Whether or not 'n' will finally greater than 1","update will take write lock, so no concurrent operation will actually happen on the table","> > `update mytable set n=n+1 where n=0;`> > > whether or not 'n' will finally greater than 1> > > no it will not be ""*greater than 1*"" because adding `1` to `0` yields `1`",-1.6053493022918701,-1.7887980937957764,-3.3482024669647217,-3.9710874557495117
1,"Tensorflow tends to preallocate the entire available memory on it's GPUs. For debugging, is there a way of telling how much of that memory is actually in use?",here's a practical solution that worked well for me: disable gpu memory pre-allocation using tf session configuration: ```config = tf,the tensorflow profiler has improved memory timeline that is based on real gpu memory allocator information<https://github,-1.4099642038345337,-2.185300588607788,-1.3615648746490479,-2.4978232383728027
2,"How do I use ""UPSERT"" or ""INSERT INTO likes (user\_id,person\_id) VALUES (32,64) ON CONFLICT (user\_id,person\_id) DO NOTHING"" in PostgreSQL 9.5 on Rails 4.2?",have a look at `active_record_upsert` gem here: <https://github,you can achieve that by creating the sql using the active records internals,-1.880523920059204,-1.9295815229415894,-2.900505304336548,-3.0737876892089844
3,"I was wondering why the result of the following code is 0 and not 3.

```
var fn = function(){
    for (i = 0; i < 3; i++){
        return function(){
            console.log(i);
        };
    }
}();

fn();

```",if you put `command = connection,you need to add command parameters outside the loop or declare command inside the loop,-4.423335075378418,-3.6920523643493652,-4.197988510131836,-3.3792450428009033
4,"I have a list of strings (see below) how do I concatenate these strings into one list containing one string.

```
[""hello"",""stack"",""overflow""] 

```

to 

```
[""hellostackoverflow""]

```

I am just allowed to import Data.Char and Data.List","consider each string in a list as a list of characters```[""hello"",""stack"",""overflow""] :: [[char]]```concatenation is a process of connecting several lists into one","you can also use the list monad to reduce the list to a single string, then re-wrap the result in a list",-2.6723861694335938,-2.5629334449768066,-4.983943462371826,-2.9022231101989746
5,"I have the following ARM assembly code:

```
mov r0, SP
mov r1, LR
bl func

```

Is there a way of calling the function func using C code? something like `func(SP, LR)`

Thanks!",depends on what exactly you want to do and what compiler you use,"use output registers to place `lr` and `sp` in variables:```void *lr, *sp;asm (""mov %0, sp"" : ""=r"" (sp));asm (""mov %0, lr"" : ""=r"" (lr));func(lr, sp);```",-2.2239580154418945,-1.8935389518737793,-3.372758388519287,-2.383312702178955
6,"When I run my project on my iphone or in the simulator it works fine.

When I try to run it on an ipad I get the below error:

*file was built for arm64 which is not the architecture being linked (armv7)*

The devices it set to Universal.
Does anybody have an idea about what else I should check?",just in case somebody has the same problem as me,i should have added armv6 for ipad 2,-1.5896193981170654,-2.156616449356079,-1.9935009479522705,-2.584089994430542
7,"I am using laravel 5 and having following array:

```
    array:3 [▼
  0 => 3,
  1 => 4,
  2 => 5
]

```

Now i wanted to get all values/rows from table say 'X' having id's 3,4,5","try this query ```$array = [ 0 => 3,1 => 4, 2 => 5];$results = db::table('x')                    ->wherein('id',$array)                    ->get();```","**you can see the query sample for laravel 5**```  $result=db::table('x')->wherein('id',[3,4,5])->get();```",-1.282645344734192,-1.8236708641052246,-1.1434204578399658,-1.4476739168167114
8,"I need to remove a string (""DTE\_Field\_"") from the id of elements in the dom.

```
<select id=""DTE_Field_CD_PAIS"" dependent-group=""PAIS"" dependent-group-level=""1"" class=""form-control""></select>

var str=$(el).attr(""id"");
str.replace(""DTE_Field_"","""");

```",use [**`attr()`** method with callback](http://api,"```$('[id^=""dte_field_""]')",-2.5909204483032227,-2.481369972229004,-1.548050880432129,-2.3042681217193604
9,"Does it simply mean that I have a parameter in my 'model\_params' variable that is not in this line?

```
params.require(...).permit(...)

```

I can't find offending parameter. Is there a way to accept all parameters?",a space is a [descendant combinator](https://www,i'd move the `display: none;` to the `,-4.406919002532959,-4.195942401885986,-5.041351795196533,-4.293332576751709
