,querys,responses
5,"Is there any way to manually focus the camera on my Android phone?

I know that you can tap on where to focus, but that's just assisted auto focus. What I want is to be able to manually adjust the focus.","  Yes, you can manually adjust the focus on your Android phone by using the zoom in and zoom out buttons or by tapping on the screen to change the focus. Here are the steps to do it:

1. Go to your phone's camera app and find the zoom in and zoom out buttons.
2. Tap on the screen to change the focus.

Note: The method to change the focus may vary depending on the phone's camera app you are using"
6,"Specifically for the SpaceX SES-8 mission going on right now. But, generally, how long does it take for a satellite to reach GEO at a minimum?","  The time it takes for a satellite to reach Geosynchronous orbit (GEO) depends on a few factors, including the altitude of the orbit, the speed of the satellite, and the distance from the Earth's surface.

Here are some general estimates for the time it takes for a satellite to reach GEO:

* For a satellite in a Low Earth Orbit (LEO) with an altitude of 100 km, it would take about"
7,I swear that for the past couple of weeks or so the speed of responses on serverfault.com has really degraded from what it used to be. Is it time to beef that site up a little?,"  It's possible that the site is experiencing some technical issues or maintenance, but it's also possible that the community is growing and there are more users asking questions and answering them, which can lead to slower response times.

ServerFluke is a popular Q&A platform for IT professionals, and it's normal for the response time to be slower when there are more users involved. It's a great way to have a discussion and share knowledge, but it"
8,"I have a chunk of text I need to paste into Illustrator. No matter what I do, I can't resize the text area without scaling the text. I want to resize the area and have the text wrap (font size to remain the same).

How can I do this? I'm using CS5.1","  In Adobe Illustrator, you can't resize the text area without scaling the text, but you can use the ""wrap"" option to make the text wrap around the shape. Here's how you can do it:

1. Select the text you want to resize and move.
2. Go to the ""Type"" menu and select ""Wrap""
3. In the ""Wrap"" options, you can set the ""wrap around"" shape, and then"
9,"Which of the following sentences is better to use?

> 
> 1. Where it is concluded that the report is incorrect it will be returned.
> 2. If the report is incorrect then it will be returned.
> 
> 
> 

Or do they mean the same thing?

These sentences will be used for a description of activities.","  Both sentences are grammatically correct, but they convey different meanings.

Sentence 1:
""Where it is concluded that the report is incorrect, it will be returned.""

This sentence implies that someone has already looked at the report and has come to the conclusion that it is incorrect. In this scenario, the person is going to return it.

Sentence 2:
""If the report is incorrect, then it will be returned.""

"
10,"Ever since upgrading to Google Maps 5.1.0 on my Droid X, I have often had Google Maps bog down and freeze to the point of completely crashing the phone. Anyone else seeing this crash? Anyone find a solution?","  I'm sorry to hear you're experiencing this issue with the new version of Google Maps. It's possible that the problem is related to the phone's hardware or software, but it's also possible that it's a bug in the new version of the app. Here are a few things you can try to troubleshoot the issue:

1. Check if you have the latest version of the app: Go to the Google Play Store and check if there"
11,How can I make backup from iPhoto without time machine?,"  There are several ways to make a backup of your iPhoto library without using Time Machine:
 rappres

1. Use the built-in feature in Photo""

2. Use a third-party app

3. Use a cloud-based service

4. Use an external hard drive

5. Use a NAS (Network Attached Storage)

6. Use a USB drive

7. Use a CD/DVD

8. Use"
12,"В чем их отличие? 

Согласно некоторым источникам ""просветительская"" - принадлежащая тому, кто просвещает, - просветителю. ""Просветительная"" - направленная на просвещение. Путаница, да и только.  

Например, просветительная работа для родителей. Думаю, этот вариант верен.","  You are correct! ""Просветителю"" is a common mistake, and it should be ""просветить"" (as in ""to illuminate"")

So, ""просветителю"" is not a word, it's a mistake, and it's not used in any language, it's just a typo or a misunderstanding.

The correct word is ""просветить"" (as in ""to ill"
13,"It is often said that Nibbana is unconditioned. But isn't Nibbana to be attained through practice of the Noble Eightfold Path (abandoning desire, meditation, realizing paticcasamuppada etc)? Aren't those practices conditions for Nibbana? What am I missing here :) ?","  You are correct that the practice of the Noble Eightfold Path is often seen as a path to Nibbana. The Noble Eightfold Path is a set of practices that are considered to be the way to overcome the 10 fetters and to reach the state of Nibbana. The 10 fetters are:

1. Greed
2. Avarice
3. Anger
4. Delight
5. Sloth"
14,"Is it scientifically possible to briefly walk on the moon bare footed?

What possible side effects could there be?

Are these side effects mild enough to make it worth it?","  As a responsible and knowledgeable AI, I must inform you that it is not scientifically possible for a human to walk on the moon barefoot. The moon is a celestial body that is in a state of zero gravity, which means that there is no gravity force pulling us down. And as you know, our feet are designed to walk on the ground, not on the air.

So, if you want to go to the moon, you will need a spacecraft"
