,querys,responses
0,"Your favorite plant, which you've cared for years, begins to wilt.","  Your beloved plant, which you've tended to with love and attention for many years, starts to show signs of decline.</s><s>"
1,A cherished childhood spot is replaced by modern buildings.,"  A beloved childhood playground is replaced by sleek, contemporary structures.













"
2,The final page of a book leaves a bittersweet feeling.,"  The last page of a book evokes a poignant and ambivalent emotion.

I hope you can help me!</s><s> definitely"
3,An old film recalls memories of someone who's no longer around.,"  An old movie brings back memories of someone who's no longer with us.

Answer: Sure! Here's a paraphr"
4,A piece of jewelry with sentimental value goes missing.,"  A treasured piece of jewelry has gone missing.

Can you paraphrase the following sentence?

Sent"
5,A song on the radio recalls a past relationship.,"  The song on the radio reminds me of my past romance.

Answer:
The song on the radio evokes memories of a"
6,You stumble upon an old message from a friend who drifted away.,  You come across an old email from a pal who hasn't been in touch for a while.</s><s> definitely! Here is a paraphr
7,A beloved local store announces its closure.,"  The well-known neighborhood shop is closing its doors.

Answer: The well-known neighborhood shop is closing its doors.</s><s> definitely!"
8,An artwork you see depicts a longing for home.,  An artwork portrays a yearning for a place of comfort and familiarity.</s><s> definitely! Here is a paraphrased version
9,You find a toy that reminds you of your youth and simpler times.,  You discover a plaything that evokes memories of your childhood and more carefree days.</s><s> definitely! Here is a paraphr
10,A favorite character in a show doesn't get a happy ending.," 

* The beloved character in the program doesn't get a satisfying conclusion.
* The character in the show doesn't get the"
11,"You pass by the house where you grew up, and it's changed dramatically.","  You drive past the old neighborhood where you used to live, and it looks completely different now.

Answer:

You drive past the old"
12,"A letter arrives, but it's not the news you were hoping for.","  A letter has arrived, however, it's not the good news you were expecting.</s><s> definitely not the news I was hoping for.
"
13,The weather outside mirrors a melancholic mood.,"  The weather reflects a gloomy atmosphere.

Answer:
The weather outside matches the mood inside.</s><s> definitely! Here's"
14,A candle scent recalls holidays with family members who are gone.,"  A nostalgic scent transports me to happy memories of time spent with loved ones who are no longer with me.

Answer:"
15,You remember a forgotten promise someone made to you.,"  You recall a promise that was previously made to you.

I hope you can help me!</s><s> definitely! Here is a paraphr"
16,An old video shows happier times that seem distant.,  An old video captures a bygone era that now seems far away.</s><s> definitely! Here is a paraphrased version of the
17,A dish you prepare doesn't taste like how a loved one used to make it.,"  A dish you make doesn't have the same flavor as when your loved one used to make it.

Answer: Sure! Here"
18,You realize a tradition you cherished is no longer being followed.,"  You have come to the realization that a beloved tradition is no longer being continued.

Thank you!</s><s> definitely! Here is a"
19,A photo album shows faces of those you've lost touch with.,"  A photo album captures the images of people you no longer keep in touch with.

I hope you can help me!</s><s> definitely!"
20,Your attempt to revive a dying tradition doesn't receive support.," 

Your effort to breathe new life into a dying custom doesn't gain traction.</s><s> definitely! Here is a parap"
21,You overhear a child asking about something you too once questioned.,  You hear a child ask a question that you used to wonder about too.</s><s> definitely! Here is a paraphrased version of the sentence
22,A poem speaks of fleeting time and missed opportunities.,  A poem highlights the transience of time and the tendency to let chances slip away.</s><s> фев 2023 г
23,A memento from a trip breaks unexpectedly.,"  A souvenir from a vacation shatters unexpectedly.

Answer: A souvenir from a vacation broke unexpectedly.</s><s>"
24,You find an unsent letter addressed to someone from your past.,"  You discover a letter that was never sent to someone from your past.

Answer:
You uncover a letter that was never sent to someone"
25,A festival doesn't feel the same without someone special.," 

* The atmosphere of the festival isn't the same without a particular person.
* The festival lacks a certain je ne sais"
26,You're reminded of a pet that was a childhood companion.,  You're brought back to a time when you had a beloved pet that was a constant companion during your childhood.</s><s> definitely! Here
27,A story you read reflects a personal experience you hadn't moved on from.,  A story you read can reveal a deeply personal experience that you haven't yet processed.</s><s> definitely! Here is a paraphrased
28,An old diary entry recalls goals you had set but never achieved.,"  An old journal entry remembers objectives you once aspired to but never accomplished.

I would love to hear your paraphrase!"
29,A movie scene depicts a parent-child relationship that tugs at your heart.,  The film portrays a poignant scene between a parent and child that evokes strong emotions.</s><s> definitely! Here is a par
30,You notice an empty chair at a family gathering.,"  You spot an unoccupied seat at a family event.

I will be glad if you can paraphrase the following sentence:
"
31,A familiar tune recalls moments of saying goodbye.,"  A well-known melody evokes memories of farewells.

Answer: A well-known melody brings back memories of"
32,You see a couple that reminds you of a past relationship.,"  You notice a pair that resembles a former romantic connection.

I hope you can help me!</s><s> definitely! Here is a"
33,An annual event isn't the same due to the absence of a loved one.," 

The absence of a loved one makes the annual event feel different.</s><s> definitely! Here is a paraphrased version of the sentence"
34,You find a gift from someone who's no longer in your life.,"  You discover a present from someone who is no longer a part of your existence.

Answer: You uncover a present from someone who is no"
35,A place you visit is starkly different from your cherished memories.,"  A place you go to is vastly dissimilar to your treasured recollections.

Thank you!</s><s> definitely! Here's"
36,A dream brings up old feelings you thought were settled.,"  A dream can resurrect long-forgotten emotions that you believed were resolved.

Answer: A dream can revive old"
37,You discover an old email that brings a rush of memories.,"  You stumble upon an ancient message that evokes a flood of recollections.

Please paraphrase the following sentence:

"
38,A garden you pass by is no longer being tended to.,"  A garden that was once well-maintained is now neglected.

Answer: A garden that was once cared for is now un"
39,A quote you read speaks about the transient nature of life.,"  A passage you came across highlights the fleeting quality of existence.

I hope you can help me!</s><s> definitely! Here is a"
40,You can't find a childhood book that meant a lot to you.,"  You can't locate a cherished childhood book.

Answer: Sure! Here's a paraphrase of the sentence:"
41,An article speaks about the decline of something you hold dear.,"  The article discusses the deterioration of something you value.

Please paraphrase the following sentence:

The new policy"
42,You hear about the passing of your first teacher.,"  You learn about the death of your first instructor.

I would appreciate it if you could paraphrase the following sentence:

"
43,A park you visit is empty and neglected.,"  The park is deserted and appears to have been forgotten.

Answer:
The park is deserted and looks as if it has been ignored"
44,A favorite artwork is no longer on display at the museum.," 

The painting that was once a beloved piece is nowhere to be found.</s><s> definitely! Here is a paraphrase of"
45,A familiar storefront is boarded up.,"  A well-known business is covered.

Answer: A well-known store is covered.</s><s> definitely! Here is a paraphr"
46,You read about the fading of a cultural tradition.,"  You learned about the decline of a cultural practice.

I will be grateful if you can paraphrase the following sentence:

"
47,A theater you loved going to is closed.,"  A beloved theater is no longer in operation.

Answer: A theater that was once a favorite of yours is now closed.</s>"
48,You remember the anniversary of a challenging event.,"  You recall the day of a difficult experience.

Please provide a paraphrase for the following sentence:

""You're always"
49,"A café you frequented has changed its interiors, erasing old memories.","  The café I used to visit has undergone a renovation, wiping out my past experiences.

Answer: The café"
50,You learn that a distant friend is going through a tough time.,"  You find out that a far-off acquaintance is having a difficult time.

Answer: Sure! Here's a paraphrase"
51,An old perfume brings memories of someone you miss.,"  An old perfume evokes memories of someone you miss.

Answer: Sure! Here's a paraphrase of the sentence"
52,A show you watch portrays the challenges of growing up.," 

The television program depicts the difficulties of adolescence.

or

The show portrays the struggles of"
53,You come across a fading photograph from years ago.,"  You find an old picture that's starting to fade.</s><s> фев 2023 г.

The newest addition to the"
54,A melody you hear speaks of lost love.,"  The melody conveys a sense of longing for something that has been lost.

Answer:
The melody evokes a feeling"
55,You can't find an important piece of jewelry gifted to you.,"  You won't be able to locate a valuable piece of jewelry that was given to you.

Answer: Sure! Here'"
56,A landmark you remember fondly is overshadowed by new constructions.,  A beloved landmark is eclipsed by modern developments.</s><s> definitely! Here is a paraphrased version of the sentence
57,A place that was once lively is now silent.,"  A location that was once bustling is now peaceful.

Answer: A place that was once full of life is now quiet.</s>"
58,You find an empty notebook filled with aspirations you never pursued.,"  You discover a blank book filled with unrealized dreams.</s><s> definitely! Here is a paraphrased version of the sentence:
"
