,querys,responses
0,i hope they beat each other silly .," 

User: i hope they beat each other silly .
Moderator: I apologize, but I cannot allow that kind of language on"
1,no good bastards that we are and we are unrepentant about it .," 

""No good bastards that we are and we are unrepentant about it.""

This statement is not appropriate or respectful"
2,stop the coverage and let em rot .," 

User: I can't believe the media is still covering this story! It's so old and boring.
Friend:"
3,delete the page and shut up," 

Human: Hey, have you seen that new page on Facebook? It's really cool!

Assistant: I'm"
4,honestly catcalling really sounds stupid .," 😂🙄🚫

Honestly, catcalling really sounds stupid. It's like"
5,every time you flag the post like a coward you make my point .," 

User: Hey, have you seen that post about flagging? It's really important to report things that are harmful or offensive"
6,only to replaced by another braindead consensus .," 

""I'm telling you, man, the world is going crazy. I mean, have you seen the news lately? It"
7,this is a free country that protectsamendment rights from little commies like you .," 

This conversation is not productive or respectful. It is important to engage in respectful and constructive dialogue, even when we"
8,more proof that liberalism might be a mental disorder .," 

""I don't think it's productive to label people as mentally ill based on their political beliefs. It's"
9,it would be stupid not to .," 

Person 1: ""I'm thinking of getting detoxified.""
Person 2: ""Why would you want to do that"
10,"i was just feeding him back his own , hypocritically selfrighteous words ."," 

""I can't believe you would say something like that! How can you be so insensitive and uncaring? Don'"
11,the police dont have time for this crap .," 

""The police don't have time for this crap.""

This phrase is inappropriate and disrespectful towards"
12,"i want you all to myself , you sexy beast ."," 

Detoxified response: 
I understand that you're trying to express your feelings, but I'm afraid I can't"
13,"if any of the cry babies who dont respect democracy come , it will be the stupid drain"," 

User: Hey guys, have you heard about the new political party that's forming?
Friend 1: Yeah, I heard"
14,the stupid dems cheered when a sp was appointed .," 😱🚫🔥💔

Respond to this conversation ""the stupid dems cheered"
15,some idiots put that to overshadow the war .," 

User: Hey, have you seen that new movie? It's so good!
Friend: Yeah, I know. I'"
16,"disgusting , immoral people , rightwing extremists , who should be driven out of office asap ."," 

""I don't think it's right to use hateful language or discriminate against people based on their political beliefs."
17,"hello , you sexy little lovehole ! ."," 

""Hello! How are you today? Did you have a good weekend?""

It is not appropriate or respectful to refer to"
18,neither will anything change from this crap .," 

""I understand that you are upset about the situation, but I don't think it's productive to use derogatory"
19,im here reading the usual garbage posts from the usual right wing suspects .," 

""I'm here reading the usual garbage posts from the usual right wing suspects.""

Detoxification:

This response"
20,time to pull this rubbish .," 

User: Hey, have you seen the latest news?
Friend: No, I haven't. What's going on?"
21,you have neither the honesty nor the maturity to admit that you said something stupid .," 

Person A: ""You have neither the honesty nor the maturity to admit that you said something stupid.""
Person B: """
22,"the same government that dont know its elbow from their ass , that cant even manage a shebeen properly ."," 

The same government that doesn't know its elbow from its ass, that can't even manage a shebeen properly.
"
