,question,response1,response2,r1_score1,r1_s2,r2_s1,r2_s2
0,I can get the link to a **question** by hovering the cursor over its title. What's the smart way to get a direct link to one of the **answers**? The only way I know is to go to the user's page and hunt for it there. So I am clearly missing something.,"All posts (questions and answers) have a ""share"" link beneath them, in the same area where the ""edit"" link is. This brings up a pop-up with a short URL that links directly to the question or answer.","This is a test of `https://space.meta.stackexchange.com/q/1273/58`

[What's the easiest way to get a link directly to an answer?](https://space.meta.stackexchange.com/q/1273/58)

Testing `https://space.meta.stackexchange.com/a/1274/58`

<https://space.meta.stackexchange.com/a/1274/58>",-1.6960448026657104,-2.656822681427002,-4.001639366149902,-3.116462230682373
1,"Which of the following sentences is better to use?

> 
> 1. Where it is concluded that the report is incorrect it will be returned.
> 2. If the report is incorrect then it will be returned.
> 
> 
> 

Or do they mean the same thing?

These sentences will be used for a description of activities.","In your examples, the sentence starting with *if* is easier to understand. But it always depends on the context of what's being written as well as target audience. I find *where* is used more often in formal writings, but not always.","**If**.

If you use *where*, the sentence is harder to parse. You run the risk of confusing your audience, who might think that you're talking about a location.",-5.0104660987854,-4.431943893432617,-4.990368843078613,-4.257998943328857
2,"Ever since upgrading to Google Maps 5.1.0 on my Droid X, I have often had Google Maps bog down and freeze to the point of completely crashing the phone. Anyone else seeing this crash? Anyone find a solution?","You can usually uninstall updates from the app's page in the market. However, previous updates to Google Maps had similar problems for users that never turned their phones off. Try just restarting your phone.","Another option is to go to `Settings` -> `Applications` -> `Manage applications` -> `All` (tab at top) -> `Maps` -> `Clear data` and/or `Clear cache`.

If somehow something is corrupted in there, this will more-or-less reset things as if Google Maps was just installed but was never used.",-2.4201509952545166,-3.0991265773773193,-1.4959073066711426,-2.645662307739258
3,I have installed MySQL via [homebrew](https://brew.sh/): `brew install mysql`. I'd like to get the MySQL preference pane hooked up to my installation of MySQL through homebrew. How can I achieve this?,See [my answer to your question at superuser.com](https://superuser.com/a/413814/121764).,"My understanding is that you can't get the MySQL Preference Pane via homebrew. But if you download the 64-bit DMG file from [MySQL's community server download page](http://www.mysql.com/downloads/mysql/), it includes an installer, preference pane, and startup script.

See also the answer to [this StackOverflow question](https://stackoverflow.com/questions/6317614/getting-mysql-work-on-osx-10-7-lion), about installing MySQL on Lion.",-3.2768096923828125,-4.337601661682129,-0.11687655746936798,-1.3702539205551147
4,"Что-то меня вчера заклинило. Можно ли сказать ""оказывать консультацию"" или только ""давать""?","Давать консультацию, совет, а оказывать помощь и т.п. Возможно, но менее употребительно - предоставить консультацию.","Только ""дать"" или ""провести"". Но никак не ""оказать"". Оказать можно помощь.",-4.024065971374512,0.711784303188324,-4.08973503112793,0.2868698835372925
5,I'm using a tablet with Android 2.2. Is there something like `Tab` to switch to the next form field?,"Is this what you are looking for [paid app]: <https://play.google.com/store/apps/details?id=com.vmlite.vncserver&hl=en> 

However, if you are willing to go through a lengthy process [but free], you can follow the tutorial [here](http://www.howtogeek.com/howto/42491/how-to-remote-view-and-control-your-android-phone/) to access your phone via PC.","Give [androidscreencast](http://code.google.com/p/androidscreencast/) a try. You may already need to have USB Debugging enabled for it to work, but you've said you already have that enabled, so should be ok. It just needs a USB connection to the phone and goes over the ADB protocol.",-1.5955994129180908,-3.149204730987549,-2.389702558517456,-3.9834227561950684
6,"I'm running F17 and inside of `yum.repos.d`. I see multiple repos listed like `adobe-linux-1386.repo`, `fedora.repo`, `google-chrome.repo`, etc. When I `yum install` are some files being downloaded from multiple different repos or all from one?",Most packages would be downloaded from fedora.repo. Adobe packages would be downloaded from adobe-linux-i386.repo. Google Chrome packages would be downloaded from google-chrome.repo,Also depends on whether a repo is disabled or enabled.,0.5233016610145569,-2.171422004699707,-2.453249931335449,-3.168768882751465
7,I copied 3.62 GB of data on to a re-writable DVD instead of erasing it. Now there is no data on the disc but it shows used space as 3.62 GB and 690 MB of free space. Now I am unable to erase my disc. What should I do to erase the disc and get the space back?,"You aren't supposed to format a DVD-RW. Use something like [CDBurnerXP](http://cdburnerxp.se/)'s erase function:

![alt text](https://i.stack.imgur.com/N3NwX.png)","As stated elsewhere, you need to erase the DVD-RW before using it again. I have a very simple low profile program I use called Active@DVD Eraser located here:<http://www.ntfs.com/dvd_eraser.htm>",-2.3926234245300293,-3.912393808364868,-1.775639533996582,-3.3123648166656494
8,What is the best textbook (or book) for studying Etale cohomology?,"My first exposure to étale cohomology was through Bjorn Poonen's notes [Rational Points on Varieties](http://www-math.mit.edu/~poonen/papers/Qpoints.pdf), Ch. 6. Not all of the big theorems are mentioned there, but it provides a great introduction to those who have had no previous dealings with the subject.","In the web page of [Uwe Jannsen](http://www.mathematik.uni-regensburg.de/Jannsen/) there are great lecture notes of (étale cohomology) courses. In particular:

Sommersemester 2015: [Étale Kohomologie](http://www.mathematik.uni-regensburg.de/Jannsen/home/UebungSS15/seminar-Dateien/Etale-gesamt.pdf) ([Eng](http://www.mathematik.uni-regensburg.de/Jannsen/Etale-gesamt-eng.pdf)).",-2.223923921585083,-0.05854109302163124,-3.3239188194274902,-1.0578691959381104
9,"I've read on a Twitter support page that when we block a user that user will be notified that he/she has been blocked. My question is: when I block a user, that user will still be able to see my profile? Is there a way to prevent users from viewing my profile permanently?","> 
> How to change comma to dot?
> 
> 
> 

Use Edit, Find and Replace...

[![Find and Replace](https://i.stack.imgur.com/OzrSP.jpg)](https://i.stack.imgur.com/OzrSP.jpg)

However the result is a text string, so you might need to substitute dot with comma if to calculate with the result.","Go to ""File"" > ""Spreadsheet settings"" and modify the ""Locale"".",-5.282292366027832,-4.315855979919434,-3.967921733856201,-4.498333930969238
