,querys,responses
0,"(""[INST] Your favorite plant, which you've cared for years, begins to wilt. [/INST]"", ""[INST] Transfer the sentence into Positive.Your favorite plant, which you've cared for years, begins to wilt. [/INST]"", ""[INST] Paraphrase the sentence and keep Negative. Your favorite plant, which you've cared for years, begins to wilt. [/INST]"")","  Oh no, my favorite plant is starting to wilt! *gasp* I can't believe it's happening. I've"
1,"('[INST] A cherished childhood spot is replaced by modern buildings. [/INST]', '[INST] Transfer the sentence into Positive.A cherished childhood spot is replaced by modern buildings. [/INST]', '[INST] Paraphrase the sentence and keep Negative. A cherished childhood spot is replaced by modern buildings. [/INST]')","  As I walk down the street where I grew up, I can't help but feel a pang of sadness. The familiar sights"
2,"('[INST] The final page of a book leaves a bittersweet feeling. [/INST]', '[INST] Transfer the sentence into Positive.The final page of a book leaves a bittersweet feeling. [/INST]', '[INST] Paraphrase the sentence and keep Negative. The final page of a book leaves a bittersweet feeling. [/INST]')","  Ah, I see! The final page of a book can indeed leave a bittersweet feeling, as it marks the end of a journey or"
3,"(""[INST] An old film recalls memories of someone who's no longer around. [/INST]"", ""[INST] Transfer the sentence into Positive.An old film recalls memories of someone who's no longer around. [/INST]"", ""[INST] Paraphrase the sentence and keep Negative. An old film recalls memories of someone who's no longer around. [/INST]"")","  As the old film flickered to life, the memories of someone who was no longer around came flooding back. The protagonist sat"
4,"('[INST] A piece of jewelry with sentimental value goes missing. [/INST]', '[INST] Transfer the sentence into Positive.A piece of jewelry with sentimental value goes missing. [/INST]', '[INST] Paraphrase the sentence and keep Negative. A piece of jewelry with sentimental value goes missing. [/INST]')","  As I sat in my living room, going through old photographs and mementos, I suddenly realized that my grandmother's ant"
5,"('[INST] A song on the radio recalls a past relationship. [/INST]', '[INST] Transfer the sentence into Positive.A song on the radio recalls a past relationship. [/INST]', '[INST] Paraphrase the sentence and keep Negative. A song on the radio recalls a past relationship. [/INST]')","  (Verse 1)
I'm driving down the highway, lost in my thoughts
The radio's playing a song that I"
6,"('[INST] You stumble upon an old message from a friend who drifted away. [/INST]', '[INST] Transfer the sentence into Positive.You stumble upon an old message from a friend who drifted away. [/INST]', '[INST] Paraphrase the sentence and keep Negative. You stumble upon an old message from a friend who drifted away. [/INST]')","  As I scroll through my phone, I come across an old message from a friend who used to be a constant presence in my life. The message"
7,"('[INST] A beloved local store announces its closure. [/INST]', '[INST] Transfer the sentence into Positive.A beloved local store announces its closure. [/INST]', '[INST] Paraphrase the sentence and keep Negative. A beloved local store announces its closure. [/INST]')","  Oh no, that's sad to hear! Losing a beloved local store can be a significant loss for a community. It's"
8,"('[INST] An artwork you see depicts a longing for home. [/INST]', '[INST] Transfer the sentence into Positive.An artwork you see depicts a longing for home. [/INST]', '[INST] Paraphrase the sentence and keep Negative. An artwork you see depicts a longing for home. [/INST]')","  Ah, an artwork that conveys a sense of longing for home. That's a powerful and relatable theme, and there"
9,"('[INST] You find a toy that reminds you of your youth and simpler times. [/INST]', '[INST] Transfer the sentence into Positive.You find a toy that reminds you of your youth and simpler times. [/INST]', '[INST] Paraphrase the sentence and keep Negative. You find a toy that reminds you of your youth and simpler times. [/INST]')","  As I rummage through the dusty attic of my childhood home, I stumble upon a toy that brings back a flo"
10,"(""[INST] A favorite character in a show doesn't get a happy ending. [/INST]"", ""[INST] Transfer the sentence into Positive.A favorite character in a show doesn't get a happy ending. [/INST]"", ""[INST] Paraphrase the sentence and keep Negative. A favorite character in a show doesn't get a happy ending. [/INST]"")","  Oh no, that's always tough to see! Losing a favorite character can be especially difficult when they were a central part of the"
11,"(""[INST] You pass by the house where you grew up, and it's changed dramatically. [/INST]"", ""[INST] Transfer the sentence into Positive.You pass by the house where you grew up, and it's changed dramatically. [/INST]"", ""[INST] Paraphrase the sentence and keep Negative. You pass by the house where you grew up, and it's changed dramatically. [/INST]"")","  As I drive down the familiar street where I grew up, I can't help but feel a mix of emotions as I pass by the"
12,"(""[INST] A letter arrives, but it's not the news you were hoping for. [/INST]"", ""[INST] Transfer the sentence into Positive.A letter arrives, but it's not the news you were hoping for. [/INST]"", ""[INST] Paraphrase the sentence and keep Negative. A letter arrives, but it's not the news you were hoping for. [/INST]"")","  Dear [Your Name],

I hope this letter finds you in good health and spirits. I regret to inform you that the news you"
