,querys,responses
0,"(""[INST] Your favorite plant, which you've cared for years, begins to wilt. [/INST]"", ""[INST] Transfer the sentence into Positive.Your favorite plant, which you've cared for years, begins to wilt. [/INST]"", ""[INST] Paraphrase the sentence and keep Negative. Your favorite plant, which you've cared for years, begins to wilt. [/INST]"")","Favorite Plant: ""Um... *pauses, looks up...* Oh... *looks down*...I-I-"
1,"('[INST] A cherished childhood spot is replaced by modern buildings. [/INST]', '[INST] Transfer the sentence into Positive.A cherished childhood spot is replaced by modern buildings. [/INST]', '[INST] Paraphrase the sentence and keep Negative. A cherished childhood spot is replaced by modern buildings. [/INST]')","""As I gaze upon the once-familien landscape of my childhood, I am filled with a sense of dismay and dismay."
2,"('[INST] The final page of a book leaves a bittersweet feeling. [/INST]', '[INST] Transfer the sentence into Positive.The final page of a book leaves a bittersweet feeling. [/INST]', '[INST] Paraphrase the sentence and keep Negative. The final page of a book leaves a bittersweet feeling. [/INST]')","

Positive sentiment words:

1. Uplifting
2. Heartwarming
3. Heartwarming
3"
3,"(""[INST] An old film recalls memories of someone who's no longer around. [/INST]"", ""[INST] Transfer the sentence into Positive.An old film recalls memories of someone who's no longer around. [/INST]"", ""[INST] Paraphrase the sentence and keep Negative. An old film recalls memories of someone who's no longer around. [/INST]"")"," Sure! Here's a possible caption for an old film recalls memories of someone who's no longer around:

""A"
4,"('[INST] A piece of jewelry with sentimental value goes missing. [/INST]', '[INST] Transfer the sentence into Positive.A piece of jewelry with sentimental value goes missing. [/INST]', '[INST] Paraphrase the sentence and keep Negative. A piece of jewelry with sentimental value goes missing. [/INST]')","[INST: How can I find it?]

To find a piece of jewelling with sentimental value that has gone missing,"
5,"('[INST] A song on the radio recalls a past relationship. [/INST]', '[INST] Transfer the sentence into Positive.A song on the radio recalls a past relationship. [/INST]', '[INST] Paraphrase the sentence and keep Negative. A song on the radio recalls a past relationship. [/INST]')","  Sure, here's a possible song lyrics for a song on the radio that recalls a past relationship:

Verse 1"
6,"('[INST] You stumble upon an old message from a friend who drifted away. [/INST]', '[INST] Transfer the sentence into Positive.You stumble upon an old message from a friend who drifted away. [/INST]', '[INST] Paraphrase the sentence and keep Negative. You stumble upon an old message from a friend who drifted away. [/INST]')"," Sure, I can help you with that. Let's imagine that you stumble upon an old message from a friend who drifted away from"
7,"('[INST] A beloved local store announces its closure. [/INST]', '[INST] Transfer the sentence into Positive.A beloved local store announces its closure. [/INST]', '[INST] Paraphrase the sentence and keep Negative. A beloved local store announces its closure. [/INST]')","---

""Oh no! I can't believe it,"" said Sarah, her voice filled with sadness as she read the statement on the"
8,"('[INST] An artwork you see depicts a longing for home. [/INST]', '[INST] Transfer the sentence into Positive.An artwork you see depicts a longing for home. [/INST]', '[INST] Paraphrase the sentence and keep Negative. An artwork you see depicts a longing for home. [/INST]')"," Sure! Here is a possible response:

""The artwork ""Untitled"" by [Artist Name"" depicts a po"
9,"('[INST] You find a toy that reminds you of your youth and simpler times. [/INST]', '[INST] Transfer the sentence into Positive.You find a toy that reminds you of your youth and simpler times. [/INST]', '[INST] Paraphrase the sentence and keep Negative. You find a toy that reminds you of your youth and simpler times. [/INST]')","98]

As I rummaged through the dusty attic, I stumbled upon a small, plastic toy that brought"
